Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  969.3,  25.4,  19.3,  69.0,   -0.1,   -3.6,   3.6,   2.0, 999.0,  -63.726, -29.906, 999.0, 999.0,   341.0,  2.0,  2.0,  2.0,  1.0,  1.0,  9.0
   8.0,  965.0,  25.7,  19.3,  67.7,   -0.1,   -8.3,   8.3,   0.7,   5.5,  -63.726, -29.907, 999.0, 999.0,   381.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  16.0,  960.0,  25.2,  18.8,  67.8,    0.2,   -9.1,   9.1, 358.7,   4.0,  -63.726, -29.907, 999.0, 999.0,   426.0,  2.0,  1.0,  1.0,  1.0,  1.0, 99.0
  23.1,  955.0,  24.8,  18.7,  68.9,   -0.1,  -10.1,  10.1,   0.6,   7.0,  -63.726, -29.908, 999.0, 999.0,   471.9,  2.0,  1.0,  1.0,  1.0,  1.0, 99.0
  29.9,  950.0,  24.3,  18.4,  69.6,   -0.4,  -10.6,  10.6,   2.0,   6.8,  -63.726, -29.908, 999.0, 999.0,   518.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  37.4,  945.0,  24.0,  18.4,  70.9,   -0.2,  -11.3,  11.3,   1.0,   5.5,  -63.726, -29.909, 999.0, 999.0,   564.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  46.4,  940.0,  23.6,  18.3,  72.1,   -0.2,  -12.2,  12.2,   0.9,   5.5,  -63.726, -29.910, 999.0, 999.0,   611.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  54.4,  935.0,  23.1,  18.1,  73.4,    0.3,  -13.2,  13.2, 358.9,   5.8,  -63.726, -29.911, 999.0, 999.0,   658.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  62.0,  930.0,  22.7,  18.0,  74.8,    0.5,  -14.1,  14.1, 358.0,   7.0,  -63.726, -29.912, 999.0, 999.0,   705.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  70.0,  925.0,  22.3,  18.0,  76.8,    0.5,  -15.6,  15.6, 358.2,   6.0,  -63.726, -29.913, 999.0, 999.0,   755.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  79.2,  920.0,  22.3,  17.7,  75.4,    0.3,  -17.4,  17.4, 359.0,   6.5,  -63.726, -29.914, 999.0, 999.0,   798.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  87.8,  915.0,  22.8,  17.0,  69.8,    0.0,  -18.5,  18.5,   0.0,   5.5,  -63.726, -29.916, 999.0, 999.0,   847.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  97.1,  910.0,  22.9,  16.7,  67.9,    0.3,  -19.2,  19.2, 359.1,   5.0,  -63.726, -29.918, 999.0, 999.0,   894.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 106.5,  905.0,  22.5,  16.4,  68.5,    1.0,  -19.3,  19.3, 357.0,   5.5,  -63.726, -29.919, 999.0, 999.0,   942.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 115.8,  900.0,  22.1,  16.3,  69.6,    1.0,  -19.4,  19.4, 357.0,   4.8,  -63.726, -29.921, 999.0, 999.0,   990.7,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 125.5,  895.0,  21.7,  16.3,  71.5,    1.0,  -19.4,  19.5, 357.1,   5.5,  -63.725, -29.922, 999.0, 999.0,  1039.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 134.5,  890.0,  21.3,  16.1,  72.3,    0.6,  -19.3,  19.3, 358.2,   5.5,  -63.726, -29.924, 999.0, 999.0,  1087.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 143.2,  885.0,  20.8,  16.1,  74.7,    0.0,  -19.4,  19.4,   0.0,   5.8,  -63.725, -29.926, 999.0, 999.0,  1136.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 152.4,  880.0,  20.4,  15.7,  74.2,    0.1,  -19.3,  19.3, 359.8,   5.5,  -63.725, -29.927, 999.0, 999.0,  1186.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 161.1,  875.0,  20.0,  15.9,  77.5,    0.2,  -19.2,  19.2, 359.5,   7.0,  -63.725, -29.929, 999.0, 999.0,  1235.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 170.2,  870.0,  19.5,  16.1,  80.4,    0.3,  -19.4,  19.4, 359.1,   5.3,  -63.725, -29.930, 999.0, 999.0,  1284.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 178.9,  865.0,  19.1,  16.0,  82.3,    0.3,  -19.6,  19.6, 359.1,   6.2,  -63.725, -29.932, 999.0, 999.0,  1335.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 188.4,  860.0,  18.6,  15.8,  84.0,    0.3,  -19.4,  19.4, 359.1,   5.3,  -63.725, -29.933, 999.0, 999.0,  1384.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 197.1,  855.0,  18.1,  15.5,  85.2,   -0.2,  -19.3,  19.3,   0.5,   6.0,  -63.725, -29.935, 999.0, 999.0,  1434.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 207.0,  850.0,  17.7,  15.1,  84.7,    0.0,  -19.1,  19.1,   0.0,   6.0,  -63.725, -29.937, 999.0, 999.0,  1485.0,  2.0,  1.0,  1.0,  1.0,  1.0, 99.0
 216.4,  845.0,  17.2,  14.7,  85.1,    0.4,  -19.1,  19.1, 358.8,   6.5,  -63.725, -29.938, 999.0, 999.0,  1535.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 225.1,  840.0,  16.8,  14.4,  86.0,    1.2,  -19.0,  19.1, 356.5,   4.5,  -63.725, -29.940, 999.0, 999.0,  1586.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 234.5,  835.0,  16.4,  14.3,  87.6,    1.6,  -18.6,  18.7, 355.1,   4.5,  -63.725, -29.941, 999.0, 999.0,  1637.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 243.8,  830.0,  16.1,  13.3,  83.5,    1.6,  -18.8,  18.9, 355.2,   5.0,  -63.725, -29.943, 999.0, 999.0,  1688.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 253.1,  825.0,  15.7,  12.7,  82.1,    2.0,  -18.8,  18.9, 353.9,   5.5,  -63.725, -29.945, 999.0, 999.0,  1740.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 261.6,  820.0,  15.5,  11.4,  76.5,    1.9,  -18.4,  18.5, 354.1,   5.0,  -63.725, -29.946, 999.0, 999.0,  1791.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 271.7,  815.0,  15.3,   9.9,  70.1,    2.2,  -17.7,  17.9, 353.1,   4.0,  -63.724, -29.948, 999.0, 999.0,  1843.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 281.0,  810.0,  15.1,   8.8,  66.2,    1.3,  -16.9,  17.0, 355.5,   5.2,  -63.724, -29.949, 999.0, 999.0,  1895.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 291.2,  805.0,  14.7,   8.5,  66.4,    0.4,  -16.3,  16.3, 358.5,   5.5,  -63.724, -29.951, 999.0, 999.0,  1948.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 301.3,  800.0,  14.2,   9.5,  72.9,    0.6,  -16.1,  16.1, 357.9,   5.8,  -63.724, -29.952, 999.0, 999.0,  2000.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 310.8,  795.0,  13.7,   9.3,  74.8,    0.6,  -15.8,  15.8, 357.7,   5.4,  -63.724, -29.953, 999.0, 999.0,  2053.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 320.8,  790.0,  13.3,   9.6,  78.2,    1.8,  -15.9,  16.0, 353.5,   5.3,  -63.724, -29.955, 999.0, 999.0,  2107.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 331.6,  785.0,  12.9,   9.1,  77.8,    1.7,  -15.8,  15.9, 353.7,   5.0,  -63.724, -29.957, 999.0, 999.0,  2160.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 341.8,  780.0,  12.6,   9.3,  80.2,    1.7,  -15.8,  15.9, 353.9,   5.5,  -63.723, -29.958, 999.0, 999.0,  2214.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 352.2,  775.0,  12.4,   8.7,  78.2,    1.1,  -15.7,  15.7, 356.0,   5.3,  -63.723, -29.959, 999.0, 999.0,  2268.1,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 362.5,  770.0,  12.2,   7.5,  73.3,    0.5,  -15.0,  15.0, 358.1,   5.5,  -63.723, -29.961, 999.0, 999.0,  2323.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 372.7,  765.0,  12.2,   7.1,  70.8,    0.0,  -14.0,  14.0,   0.0,   5.5,  -63.723, -29.962, 999.0, 999.0,  2377.7,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 382.8,  760.0,  12.1,   5.9,  65.8,   -0.2,  -13.1,  13.1,   0.9,   5.3,  -63.723, -29.963, 999.0, 999.0,  2432.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 392.0,  755.0,  11.9,   5.6,  65.2,   -0.4,  -12.8,  12.8,   1.8,   6.5,  -63.723, -29.964, 999.0, 999.0,  2488.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 402.9,  750.0,  11.6,   5.4,  65.5,   -0.2,  -12.3,  12.3,   0.9,   5.0,  -63.723, -29.966, 999.0, 999.0,  2543.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 413.1,  745.0,  11.7,   4.0,  59.1,   -0.3,  -11.3,  11.3,   1.5,   6.0,  -63.723, -29.967, 999.0, 999.0,  2599.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 424.2,  740.0,  12.3,   4.6,  59.3,    0.8,   -9.6,   9.6, 355.2,   6.0,  -63.724, -29.968, 999.0, 999.0,  2656.1,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 435.3,  735.0,  12.6,   3.4,  53.3,    1.0,   -8.4,   8.4, 353.4,   5.5,  -63.723, -29.969, 999.0, 999.0,  2713.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 445.2,  730.0,  12.7,   2.9,  51.1,    1.1,   -7.8,   7.8, 351.6,   5.5,  -63.723, -29.970, 999.0, 999.0,  2769.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 455.0,  725.0,  14.3,  -1.6,  33.4,    0.8,   -7.8,   7.8, 354.1,   8.0,  -63.723, -29.970, 999.0, 999.0,  2828.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
